time_local,id,event,fight_date,location,bout,weight_class,time_format,state,winner,method,det,round,last_round,time,fighter_r,bdy_val_r,bdy_tot_r,ctrl_r,hd_val_r,hd_tot_r,kd_r,lgs_val_r,lgs_tot_r,sigstr_val_r,sigstr_tot_r,subatt_r,td_val_r,td_tot_r,totstr_val_r,totstr_tot_r,ht_r,rch_r,sigstrkacc_r,sigstrklpm_r,stnce_r,subavg_r,tdacc_r,tdavg_r,wt_r,dob_r,fighter_b,bdy_val_b,bdy_tot_b,ctrl_b,hd_val_b,hd_tot_b,kd_b,lgs_val_b,lgs_tot_b,sigstr_val_b,sigstr_tot_b,subatt_b,td_val_b,td_tot_b,totstr_val_b,totstr_tot_b,ht_b,rch_b,sigstrkacc_b,sigstrklpm_b,stnce_b,subavg_b,tdacc_b,tdavg_b,wt_b,dob_b
06:14:52,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 4:26",1.0,5,5:00,islam_makhachev,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:15:10,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 4:26",1.0,5,5:00,islam_makhachev,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:15:28,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 4:26",1.0,5,5:00,islam_makhachev,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:15:46,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 3:45",1.0,5,5:00,islam_makhachev,1,1,0:00,0,1,0,0,0,1,2,0,0,0,1,2,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,2,0:00,0,2,0,0,1,1,5,0,0,0,1,5,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:16:04,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 3:45",1.0,5,5:00,islam_makhachev,1,1,0:00,0,1,0,0,0,1,2,0,0,0,1,2,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,2,0:00,0,2,0,0,1,1,5,0,0,0,1,5,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:16:22,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 3:13",1.0,5,5:00,islam_makhachev,1,2,0:00,0,5,0,0,0,1,7,0,0,0,1,7,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,2,0:00,2,5,0,1,2,4,9,0,0,0,4,9,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:16:40,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 2:31",1.0,5,5:00,islam_makhachev,1,2,0:00,1,8,0,0,0,2,10,0,0,0,2,10,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,3,8,0,1,2,5,14,0,0,0,5,14,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:16:59,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 3:45",1.0,5,5:00,islam_makhachev,1,1,0:00,0,1,0,0,0,1,2,0,0,0,1,2,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,2,0:00,0,2,0,0,1,1,5,0,0,0,1,5,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:17:17,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 2:31",1.0,5,5:00,islam_makhachev,1,2,0:00,1,8,0,0,0,2,10,0,0,0,2,10,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,3,8,0,1,2,5,14,0,0,0,5,14,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:17:36,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R1, 2:31",1.0,5,5:00,islam_makhachev,1,2,0:00,1,8,0,0,0,2,10,0,0,0,2,10,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,4,0:00,3,8,0,1,2,5,14,0,0,0,5,14,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
